osmid,y,x,street_count,ref,highway,geometry
3456602,43.6520307,-79.3442544,4,,,POINT (-79.3442544 43.6520307)
3458665,43.6480696,-79.3607809,3,155,motorway_junction,POINT (-79.3607809 43.6480696)
3458680,43.6476128,-79.3616049,3,,,POINT (-79.3616049 43.6476128)
3458699,43.6462311,-79.3681734,3,154,motorway_junction,POINT (-79.3681734 43.6462311)
3458707,43.6440442,-79.3764393,3,,,POINT (-79.3764393 43.6440442)
3458730,43.6400811,-79.3851916,3,,,POINT (-79.3851916 43.6400811)
3458750,43.6412398,-79.3815579,3,,,POINT (-79.3815579 43.6412398)
3458773,43.6378351,-79.3993498,3,153,motorway_junction,POINT (-79.3993498 43.6378351)
3458805,43.6331047,-79.4283169,3,149,motorway_junction,POINT (-79.4283169 43.6331047)
3458858,43.6341035,-79.4375266,3,149,motorway_junction,POINT (-79.4375266 43.6341035)
20380879,43.6920755,-79.3953157,3,,,POINT (-79.3953157 43.6920755)
20380923,43.6965566,-79.4027266,3,,,POINT (-79.4027266 43.6965566)
20380929,43.6772081,-79.3975864,3,,traffic_signals,POINT (-79.3975864 43.6772081)
20380931,43.6684583,-79.4390182,4,,traffic_signals,POINT (-79.4390182 43.6684583)
20953413,43.6735695,-79.3750577,3,,,POINT (-79.3750577 43.6735695)
20953415,43.6741616,-79.3730842,3,,,POINT (-79.3730842 43.6741616)
20953416,43.6744233,-79.3721411,3,,,POINT (-79.3721411 43.6744233)
20953417,43.6745847,-79.3713645,3,,,POINT (-79.3713645 43.6745847)
20953418,43.6746236,-79.3711757,3,,,POINT (-79.3711757 43.6746236)
20953419,43.6748671,-79.3700635,3,,,POINT (-79.3700635 43.6748671)
20953420,43.6751282,-79.3687485,3,,,POINT (-79.3687485 43.6751282)
20953421,43.6738108,-79.3681456,5,,traffic_signals,POINT (-79.3681456 43.6738108)
20953422,43.6745014,-79.3685533,4,,,POINT (-79.3685533 43.6745014)
20953425,43.6753299,-79.3687913,3,,,POINT (-79.3687913 43.6753299)
20953433,43.6767429,-79.3708126,3,,,POINT (-79.3708126 43.6767429)
20953434,43.6770571,-79.3709677,3,,,POINT (-79.3709677 43.6770571)
20953437,43.6771703,-79.3704107,1,,,POINT (-79.3704107 43.6771703)
20953439,43.6754642,-79.368078,3,,,POINT (-79.368078 43.6754642)
20953441,43.675383,-79.3678084,3,,,POINT (-79.3678084 43.675383)
20953446,43.6767132,-79.3722521,3,,stop,POINT (-79.3722521 43.6767132)
20953448,43.675049,-79.3778454,5,,stop,POINT (-79.3778454 43.675049)
20953450,43.6757131,-79.3762481,3,,,POINT (-79.3762481 43.6757131)
20953452,43.676025,-79.3751744,4,,stop,POINT (-79.3751744 43.676025)
20953454,43.6763115,-79.374025,3,,,POINT (-79.374025 43.6763115)
20953464,43.6752431,-79.373584,3,,,POINT (-79.373584 43.6752431)
20953466,43.67504,-79.3748007,3,,,POINT (-79.3748007 43.67504)
20953468,43.6749099,-79.3756089,3,,,POINT (-79.3756089 43.6749099)
20953473,43.6766113,-79.3784953,3,,stop,POINT (-79.3784953 43.6766113)
20953475,43.6774431,-79.3772316,3,,,POINT (-79.3772316 43.6774431)
20953478,43.6743438,-79.3775587,3,,,POINT (-79.3775587 43.6743438)
20953479,43.6738606,-79.3773771,3,,,POINT (-79.3773771 43.6738606)
20953482,43.6737322,-79.3761852,1,,,POINT (-79.3761852 43.6737322)
20953485,43.674007,-79.3783722,1,,,POINT (-79.3783722 43.674007)
20953646,43.6776212,-79.3751544,4,,stop,POINT (-79.3751544 43.6776212)
20953648,43.6801997,-79.3741511,3,,,POINT (-79.3741511 43.6801997)
20953649,43.680973,-79.3738299,3,,,POINT (-79.3738299 43.680973)
20953650,43.6822024,-79.3733811,4,,,POINT (-79.3733811 43.6822024)
20953651,43.6831809,-79.3730465,3,,,POINT (-79.3730465 43.6831809)
20953652,43.6834218,-79.3729312,3,,,POINT (-79.3729312 43.6834218)
20953653,43.6840687,-79.3726903,3,,,POINT (-79.3726903 43.6840687)
20953656,43.6854292,-79.3727074,4,,,POINT (-79.3727074 43.6854292)
20953657,43.6773695,-79.3776748,3,,stop,POINT (-79.3776748 43.6773695)
20953659,43.6776713,-79.3759807,3,,,POINT (-79.3759807 43.6776713)
20953675,43.6800851,-79.3706434,1,,,POINT (-79.3706434 43.6800851)
20953676,43.6744629,-79.3807096,2,,,POINT (-79.3807096 43.6744629)
20953678,43.6745724,-79.3801694,4,,traffic_signals,POINT (-79.3801694 43.6745724)
20953772,43.6719626,-79.3708425,3,,traffic_signals,POINT (-79.3708425 43.6719626)
20953775,43.6723507,-79.3768529,4,,traffic_signals,POINT (-79.3768529 43.6723507)
20953780,43.6716101,-79.3805443,4,,traffic_signals,POINT (-79.3805443 43.6716101)
20953788,43.6744928,-79.3671532,3,,,POINT (-79.3671532 43.6744928)
20953795,43.6762549,-79.3806356,4,,,POINT (-79.3806356 43.6762549)
20953797,43.6770529,-79.379739,3,,,POINT (-79.379739 43.6770529)
20953800,43.6765454,-79.3794967,4,,stop,POINT (-79.3794967 43.6765454)
20953801,43.6764902,-79.3794895,3,,,POINT (-79.3794895 43.6764902)
20953807,43.6775871,-79.38054,3,,,POINT (-79.38054 43.6775871)
20953810,43.6793527,-79.381119,3,,,POINT (-79.381119 43.6793527)
20953813,43.6804631,-79.3821174,3,,,POINT (-79.3821174 43.6804631)
20953828,43.6779824,-79.3784208,3,,,POINT (-79.3784208 43.6779824)
20953837,43.6785757,-79.3819282,3,,stop,POINT (-79.3819282 43.6785757)
20953844,43.6787926,-79.3764314,3,,,POINT (-79.3764314 43.6787926)
20953845,43.6789374,-79.3764881,1,,,POINT (-79.3764881 43.6789374)
20953847,43.6702478,-79.3703856,3,,,POINT (-79.3703856 43.6702478)
20953849,43.6658604,-79.3686098,4,,traffic_signals,POINT (-79.3686098 43.6658604)
20953851,43.6607185,-79.3665241,3,,,POINT (-79.3665241 43.6607185)
20953852,43.6581932,-79.3654971,3,,,POINT (-79.3654971 43.6581932)
20953853,43.6545629,-79.3640014,4,,traffic_signals,POINT (-79.3640014 43.6545629)
20954018,43.6819426,-79.3769566,3,,,POINT (-79.3769566 43.6819426)
20954021,43.6820567,-79.3770096,3,,,POINT (-79.3770096 43.6820567)
20954026,43.6820371,-79.3771972,3,,,POINT (-79.3771972 43.6820371)
20954030,43.6818938,-79.377173,3,,,POINT (-79.377173 43.6818938)
20954092,43.6808072,-79.3821557,4,,,POINT (-79.3821557 43.6808072)
20954099,43.6809732,-79.3780872,3,,,POINT (-79.3780872 43.6809732)
20954100,43.6815068,-79.3775452,3,,,POINT (-79.3775452 43.6815068)
20954104,43.6807182,-79.3823812,5,,,POINT (-79.3823812 43.6807182)
20954107,43.6816635,-79.3757027,3,,,POINT (-79.3757027 43.6816635)
20954109,43.6825195,-79.3814108,3,,,POINT (-79.3814108 43.6825195)
20954142,43.6829974,-79.369608,3,,,POINT (-79.369608 43.6829974)
20954143,43.683189,-79.3686074,1,,,POINT (-79.3686074 43.683189)
20954152,43.6836183,-79.3737573,4,,,POINT (-79.3737573 43.6836183)
20954163,43.6842108,-79.3689229,3,,,POINT (-79.3689229 43.6842108)
20954167,43.6835935,-79.3689837,3,,,POINT (-79.3689837 43.6835935)
20954175,43.6833835,-79.3771758,3,,,POINT (-79.3771758 43.6833835)
20954185,43.6832199,-79.3776277,3,,,POINT (-79.3776277 43.6832199)
20954186,43.6843023,-79.3775551,4,,,POINT (-79.3775551 43.6843023)
20954187,43.6856005,-79.3780898,3,,stop,POINT (-79.3780898 43.6856005)
20954191,43.6838422,-79.3796027,3,,stop,POINT (-79.3796027 43.6838422)
20954201,43.6857802,-79.3712154,3,,,POINT (-79.3712154 43.6857802)
20954206,43.6870831,-79.3711146,3,,stop,POINT (-79.3711146 43.6870831)
20954207,43.6841463,-79.3828871,4,,,POINT (-79.3828871 43.6841463)
20954210,43.6840602,-79.3835341,3,,,POINT (-79.3835341 43.6840602)
20954212,43.6848146,-79.3838307,3,,,POINT (-79.3838307 43.6848146)
20954218,43.6847104,-79.3799599,4,,stop,POINT (-79.3799599 43.6847104)
20954224,43.6862994,-79.3784002,3,,,POINT (-79.3784002 43.6862994)
20954228,43.6871145,-79.3761739,1,,,POINT (-79.3761739 43.6871145)
20954229,43.687458,-79.3788839,4,,stop,POINT (-79.3788839 43.687458)
20954232,43.6864906,-79.3739204,3,,,POINT (-79.3739204 43.6864906)
20954233,43.6867378,-79.3728058,3,,,POINT (-79.3728058 43.6867378)
20954234,43.6870031,-79.3715135,3,,,POINT (-79.3715135 43.6870031)
